_MODEL_;_PRICE_;_QUANTITY_
11085;130.00;1
13074;119.00;4
13050;269.00;2
13036;295.00;3
13928;269.00;5
13822;129.00;3
13053;135.00;2
13930;139.00;3
13821;129.00;3
13067;135.00;2
13831;129.00;1
13037;245.00;1
13861;139.00;2
13830;129.00;1
13860;139.00;1
13031;235.00;2
13862;469.00;2
13173;425.00;1
13044;135.00;1
13047;139.00;1
10993;329.00;4
11605;105.00;1
13825;129.00;4
13055;95.00;2
13069;99.00;1
12288;129.00;4
10989;240.00;1
12335;120.00;1
13072;109.00;3
13494;139.00;3
13832;109.00;1
13824;119.00;3
13246;155.00;1
13827;119.00;2
13866;109.00;2
13282;135.00;4
13826;109.00;2
13865;109.00;2
13834;129.00;1
13867;149.00;1
13926;159.00;3
13275;139.00;8
13064;95.00;2
13833;119.00;1
13076;105.00;2
13836;129.00;1
13276;149.00;4
13823;119.00;4
13251;295.00;2
13820;119.00;2
13828;119.00;3
13027;129.00;2
13068;95.00;3
12142;245.00;5
10702;3.00;2673
13034;149.00;2
12089;380.00;1
12467;380.00;4
11079;550.00;2
12666;245.00;1
12661;395.00;1
12668;369.00;3
12658;395.00;3
13817;359.00;1
11618;420.00;1
11076;380.00;1
11084;380.00;1
12897;255.00;4
12919;155.00;10
12892;325.00;3
11945;245.00;11
13772;199.00;4
13039;155.00;2
13953;229.00;2
13203;355.00;1
13230;105.00;3
13759;199.00;2
13632;99.00;1
13762;199.00;1
12649;209.00;1
13642;339.00;2
13764;199.00;1
13765;199.00;5
13771;199.00;2
13767;199.00;2
13640;199.00;2
12558;105.00;4
13636;199.00;2
13775;99.00;1
13774;199.00;3
13616;179.00;4
12115;345.00;37
13629;205.00;2
13316;145.00;4
13619;179.00;3
10900;390.00;1
40025;245.00;1
40026;299.00;2
40027;329.00;1
12650;105.00;1
13223;209.00;4
13226;199.00;3
12081;99.00;3
12450;319.00;2
13945;329.00;2
11985;280.00;1
12521;125.00;1
12469;295.00;2
13955;269.00;1
30026;375.00;1
13678;159.00;1
13463;195.00;2
40045;329.00;4
11752;129.00;9
13883;690.00;1
13887;790.00;1
13876;750.00;1
13875;750.00;1
13874;690.00;1
13884;790.00;1
13882;690.00;1
13885;790.00;1
13890;990.00;1
13281;245.00;3
30021;195.00;2
11395;279.00;4
10733;279.00;4
12435;280.00;1
13954;279.00;1
13894;259.00;1
13652;139.00;6
13651;185.00;12
12361;225.00;5
12362;195.00;10
12360;185.00;7
12689;185.00;1
12365;185.00;7
13538;175.00;2
12364;175.00;5
11455;2850.00;1
11459;2750.00;2
12710;435.00;6
13021;2750.00;1
11700;250.00;4
10335;475.00;2
10332;1770.00;2
11701;220.00;7
10326;3250.00;3
10334;425.00;8
12714;415.00;6
12351;339.00;2
11178;2890.00;1
11177;299.00;1
12712;385.00;5
11702;230.00;6
10336;445.00;9
10357;179.00;2
11401;499.00;10
10707;290.00;27
10502;59.00;2
11793;62.00;5
11794;78.00;12
10837;60.00;11
10711;245.00;5
10712;285.00;4
10928;60.00;2
10987;220.00;2
11934;60.00;24
11933;100.00;13
11847;99.00;1
10933;150.00;3
12895;265.00;4
12130;475.00;3
11683;160.00;2
13214;140.00;9
12849;219.00;6
12862;270.00;8
11797;175.00;6
13724;68.00;36
11862;15.00;233
10320;25.00;69
11098;200.00;4
11100;99.00;21
12146;279.00;2
12868;85.00;3
12869;115.00;2
10259;3.00;2
10254;3.00;216
12459;165.00;1
12460;185.00;1
10594;250.00;2
11729;380.00;2
11711;235.00;6
10906;595.00;5
12475;299.00;11
13327;349.00;3
12853;600.00;1
