Наименование;Наименование артикула;Артикул;Валюта;Цена;Доступен для заказа;Зачеркнутая цена;Закупочная цена;В наличии;Краткое описание;Описание;Наклейка;Статус;Тип товаров;Теги;Облагается налогом;Заголовок;META Keywords;META Description;Ссылка на витрину;Цвет;Объем встроенной памяти;Размер;Изображения;Изображения
Инструмент для мастики  9 шт синый;12906;12906;RUB;195;1;;;5;;;;1;;;;;;;;;;;;;
Инструмент для мастики 6 шт;12893;12893;RUB;175;1;;;5;;;;1;;;;;;;;;;;;;
Инструмент для мастики 8шт;12137;12137;RUB;165;1;;;3;;;;1;;;;;;;;;;;;;
Инструмент для рыбы);12860;12860;RUB;145;1;;;7;;;;1;;;;;;;;;;;;;
Инструмент для создании поп кексов;12913;12913;RUB;255;1;;;3;;;;1;;;;;;;;;;;;;
Инструмент для фигурной резки;12859;12859;RUB;285;1;;;2;;;;1;;;;;;;;;;;;;
Какао Barry Extra Brute 22/24%, 1 кг;0633;0633;RUB;1190;1;;;4;;;;1;;;;;;;;;;;;;
Какао порошок Bensdorp 22-24%;;;RUB;499;1;;;5;;;;1;;;;;;;;;;;;;
Какао порошок Extra Brute Cacao Barry 22-24% 250гр;12275;12275;RUB;295;1;;;7;;;;1;;;;;;;;;;;;;
Какао порошок Red Cameroon 20-22% 100 г;;;RUB;125;1;;;4;;;;1;;;;;;;;;;;;;
Какао порошок Red Cameroon 20-22% 1кг;;;RUB;989;1;;;1;;;;1;;;;;;;;;;;;;
Какао порошок Глубокий черный VanHouten 10-12% 100 г;;;RUB;149;1;;;4;;;;1;;;;;;;;;;;;;
Какао порошок Теплый коричневый 22-24% VanHouten 100 г;13848;13848;RUB;135;1;;;4;;;;1;;;;;;;;;;;;;
Какао порошок Теплый коричневый 22-24% VanHouten 1кг;;;RUB;969;1;;;1;;;;1;;;;;;;;;;;;;
Какао-масло Barry Callebaut 200 гр;11200;11200;RUB;355;1;;;3;;;;1;;;;;;;;;;;;;
Какао-масло в порошке Mycryo Barry Callebaut 50 гр;11199;11199;RUB;219;1;;;2;;;;1;;;;;;;;;;;;;
